generic_name,kind,severity,field,status,requires_user_approval,summary,sources,current_value,proposed_value
acetazolamide,fact_check,high,fda_black_box_warning_source,incorrect,False,Replace the impermissible DailyMed SPL source with FDA label sources.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/008943s054lbl.pdf; https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/008943s053%2C009388s039lbl.pdf; https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/012945s048lbl.pdf,"FDA/DailyMed SPL; status=no_boxed_warning_in_selected_label; setid=58093032-8480-4d0f-82be-92e643bdbea4; published=Jan 16, 2026; title=ACETAZOLAMIDE (ACETAZOLAMIDE SODIUM) INJECTION, POWDER, FOR SOLUTION [SAGENT PHARMACEUTICALS]; url=https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=58093032-8480-4d0f-82be-92e643bdbea4","FDA Drugs@FDA/accessdata labels; status=no_boxed_warning_identified_in_selected_fda_labels; checked labels: DIAMOX tablets NDA 008943/S-054 (2025), DIAMOX tablets/injection NDA 008943/S-053 and NDA 009388/S-039 (2024), DIAMOX SEQUELS NDA 012945/S-048 (2024); urls=https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/008943s054lbl.pdf | https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/008943s053%2C009388s039lbl.pdf | https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/012945s048lbl.pdf"
acetazolamide,outcome_check,info,plot_diff_50_responder_maximum_effective_dose,not_applicable,False,Plot value appropriately remains blank because the corresponding outcome is N/A.,,,
acetazolamide,outcome_check,info,plot_diff_median_pct_change_maximum_effective_dose,not_applicable,False,Plot value appropriately remains blank because the corresponding outcome is N/A.,,,
acetazolamide,outcome_check,info,plot_diff_seizure_freedom_maximum_effective_dose,not_applicable,False,Plot value appropriately remains blank because the corresponding outcome is N/A.,,,
acetazolamide,black_box_warning,high,fda_black_box_warning,incorrect,False,The no-boxed-warning conclusion is supportable from FDA label PDFs that show ordinary WARNINGS sections but no BOXED WARNING section. The current value/source is not compliant because it cites DailyMed for the FDA boxed-warning field.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/008943s054lbl.pdf; https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/008943s053%2C009388s039lbl.pdf; https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/012945s048lbl.pdf,No FDA boxed warning identified in selected current DailyMed label.,No FDA boxed warning identified in selected current FDA labeling.
acetazolamide,proposed_row_update,medium,evidence_sources,proposed,False,"DailyMed should not be used as a named source in this audit bundle, and the row needs NCBI/PubMed sources for non-label facts and RCT-gap verification.",https://www.fda.gov/drugs/drug-approvals-and-databases/orange-book-data-files; https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/008943s054lbl.pdf; https://www.ncbi.nlm.nih.gov/books/NBK532282/; https://pubmed.ncbi.nlm.nih.gov/6797857/,FDA Orange Book products file; FDA/DailyMed labeling,FDA Orange Book data files; FDA Drugs@FDA/accessdata labeling; NCBI Bookshelf; PubMed
acetazolamide,proposed_row_update,medium,mechanism_source,proposed,False,Mechanism text is supported by FDA label PDFs.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/008943s053%2C009388s039lbl.pdf,FDA/DailyMed labeling,FDA Drugs@FDA/accessdata labeling
acetazolamide,proposed_row_update,medium,fda_black_box_warning_source,proposed,False,"Black-box source must be FDA/openFDA/Drugs@FDA, not DailyMed.",https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/008943s054lbl.pdf; https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/008943s053%2C009388s039lbl.pdf; https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/012945s048lbl.pdf,"FDA/DailyMed SPL; status=no_boxed_warning_in_selected_label; setid=58093032-8480-4d0f-82be-92e643bdbea4; published=Jan 16, 2026; title=ACETAZOLAMIDE (ACETAZOLAMIDE SODIUM) INJECTION, POWDER, FOR SOLUTION [SAGENT PHARMACEUTICALS]; url=https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=58093032-8480-4d0f-82be-92e643bdbea4","FDA Drugs@FDA/accessdata labels; status=no_boxed_warning_identified_in_selected_fda_labels; checked labels: DIAMOX tablets NDA 008943/S-054 (2025), DIAMOX tablets/injection NDA 008943/S-053 and NDA 009388/S-039 (2024), DIAMOX SEQUELS NDA 012945/S-048 (2024); urls=https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/008943s054lbl.pdf | https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/008943s053%2C009388s039lbl.pdf | https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/012945s048lbl.pdf"
acetazolamide,proposed_row_update,medium,evidence_sources,proposed,False,Remove DailyMed from row source naming and add trusted sources used for half-life/metabolism and RCT-gap verification.,https://www.fda.gov/drugs/drug-approvals-and-databases/orange-book-data-files; https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/008943s054lbl.pdf; https://www.ncbi.nlm.nih.gov/books/NBK532282/; https://pubmed.ncbi.nlm.nih.gov/6797857/,FDA Orange Book products file; FDA/DailyMed labeling,FDA Orange Book data files; FDA Drugs@FDA/accessdata labeling; NCBI Bookshelf; PubMed
acetazolamide,proposed_row_update,medium,fda_black_box_warning,proposed,False,"Black-box verification must use FDA sources, not DailyMed.",https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/008943s054lbl.pdf; https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/008943s053%2C009388s039lbl.pdf; https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/012945s048lbl.pdf,No FDA boxed warning identified in selected current DailyMed label.,No FDA boxed warning identified in selected current FDA labeling.
acetazolamide,proposed_row_update,medium,fda_black_box_warning_source,proposed,False,Replace impermissible DailyMed source with FDA label sources.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/008943s054lbl.pdf; https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/008943s053%2C009388s039lbl.pdf; https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/012945s048lbl.pdf,"FDA/DailyMed SPL; status=no_boxed_warning_in_selected_label; setid=58093032-8480-4d0f-82be-92e643bdbea4; published=Jan 16, 2026; title=ACETAZOLAMIDE (ACETAZOLAMIDE SODIUM) INJECTION, POWDER, FOR SOLUTION [SAGENT PHARMACEUTICALS]; url=https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=58093032-8480-4d0f-82be-92e643bdbea4","FDA Drugs@FDA/accessdata labels; status=no_boxed_warning_identified_in_selected_fda_labels; checked labels: DIAMOX tablets NDA 008943/S-054 (2025), DIAMOX tablets/injection NDA 008943/S-053 and NDA 009388/S-039 (2024), DIAMOX SEQUELS NDA 012945/S-048 (2024); urls=https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/008943s054lbl.pdf | https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/008943s053%2C009388s039lbl.pdf | https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/012945s048lbl.pdf"
acetazolamide,proposed_row_update,medium,mechanism_source,proposed,False,Mechanism is supportable from FDA labeling; DailyMed is unnecessary and outside the trusted source list supplied for this audit.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/008943s053%2C009388s039lbl.pdf,FDA/DailyMed labeling,FDA Drugs@FDA/accessdata labeling
acetazolamide,proposed_row_update,medium,half_life_range,proposed,False,Trusted NCBI sources provide half-life values; the row should not leave the pharmacokinetic field as N/A solely because the selected label omits it.,https://www.ncbi.nlm.nih.gov/books/NBK532282/; https://www.ncbi.nlm.nih.gov/books/NBK2597/,N/A - selected FDA/DailyMed label does not provide a half-life value.,"6-14 hours; reported values vary by trusted NCBI sources, with StatPearls listing plasma half-life 6-9 hours and an NCBI Bookshelf epilepsy text listing elimination half-life 12-14 hours."
acetazolamide,proposed_row_update,medium,major_organ_for_metabolism,proposed,False,NCBI sources state acetazolamide does not undergo metabolic alteration and is primarily renally eliminated.,https://www.ncbi.nlm.nih.gov/books/NBK532282/; https://www.ncbi.nlm.nih.gov/books/NBK2597/,N/A - selected FDA/DailyMed label does not identify a major metabolic organ; renal bicarbonate handling and urinary effects are clinically central.,No major metabolism; renal excretion is the primary route of elimination.
acetazolamide,proposed_row_update,medium,trade_names,proposed,False,Add the missing FDA-labeled Diamox Sequels brand alias without deleting existing names.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/012945s048lbl.pdf,Acetazolamide; Acetazolamide Sodium; Diamox,Acetazolamide; Acetazolamide Sodium; Diamox; Diamox Sequels
acetazolamide,proposed_row_update,medium,pubmed_search_aliases,proposed,False,Add the missing extended-release capsule brand alias for search coverage.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/012945s048lbl.pdf,Diamox; acetazolamide sodium,Diamox; Diamox Sequels; acetazolamide sodium
acetazolamide,proposed_row_update,critical,filter_formulation,proposed,True,FDA labeling identifies the injection for intravenous use and says intramuscular administration is not recommended.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/008943s053%2C009388s039lbl.pdf,Capsule; IV/IM injection; Long acting; Tablet,Capsule; IV injection; Long acting; Tablet
acetazolamide,proposed_row_update,medium,qt_interval_effect,proposed,False,"Clarify that the evidence is label silence, not affirmative QT safety evidence.",https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/008943s054lbl.pdf; https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/008943s053%2C009388s039lbl.pdf,No QT interval effect described in selected FDA label.,No QT-related warning or effect identified in selected FDA labeling; absence of label language does not establish a proven no-effect finding.
acetazolamide,proposed_row_update,medium,rct_pubmed_verification_notes,proposed,False,Refresh audit date and retain the N/A conclusion.,https://pubmed.ncbi.nlm.nih.gov/6797857/; https://www.ncbi.nlm.nih.gov/books/NBK581157/,No qualifying phase II/III placebo-controlled randomized epilepsy RCT was retained in the PubMed RCT audit/gap review as of 05-19-2026; RCT section set to N/A per current scope.,No qualifying phase II/III placebo-controlled randomized epilepsy RCT was found/retained in the PubMed RCT audit/gap review as of 05-20-2026; RCT section remains N/A.
barbexaclone,fact_check,high,minimum_effective_dose,incorrect,False,"A starting titration dose is not the same as an evidence-based minimum effective dose, so the cell should be worded more cautiously.",https://ch.oddb.org/de/gcc/fachinfo/reg/31862,Swiss Fachinformation: adult titration begins at 100 mg/day; children may titrate slowly using 25 mg tablets.,No explicit minimum effective dose stated; Swiss Fachinformation dosing starts adults at 100 mg/day and titrates every 2 days to 1 week; children may be titrated slowly using 25 mg dragees/tablets.
barbexaclone,fact_check,high,mechanism_source_tier,incorrect,False,"The cited mechanism source is a Swiss Fachinformation page via ODDB, not an EMA EPAR, EMA SmPC, or UK eMC/SmPC.",https://ch.oddb.org/de/gcc/fachinfo/reg/31862,EMA/UK SmPC,Swiss Fachinformation / non-U.S. product information (not EMA/UK SmPC)
barbexaclone,fact_check,high,adverse_symptoms_percentages,incorrect,False,"The Swiss source supports the frequency categories and listed events, but the row's phrase '0% exact percentage unavailable' is inaccurate because unestimable frequency is not 0%. The proposed text also captures additional listed events and avoids overstating exact percentages.",https://ch.oddb.org/de/gcc/fachinfo/reg/31862,"Swiss Fachinformation frequency categories: frequent 1-10% not itemized for all symptoms; occasional 0.1-1% calcium metabolism disorder and weight loss; rare 0.01-0.1% aplastic/megaloblastic anemia, pancytopenia, thrombocytopenia, leukopenia, agranulocytosis, allergic/respiratory hypersensitivity, hallucinations, hemorrhage, constipation, vomiting, gingival hyperplasia, SJS/TEN, exfoliative dermatitis, rash; frequency not reliably estimable 0% exact percentage unavailable for somnolence, ataxia, nystagmus, dizziness, respiratory depression, fatigue.","Swiss Fachinformation frequency categories: frequent >1/100 to <=1/10, occasional >1/1000 to <=1/100, rare >1/10000 to <=1/1000. Occasional: calcium metabolism disorders, weight loss. Rare: aplastic anemia, megaloblastic anemia, pancytopenia, thrombocytopenia, leukopenia, agranulocytosis, allergic reactions/skin and respiratory hypersensitivity, systemic lupus erythematosus, optical hallucinations, hemorrhage, constipation, vomiting, gingival hyperplasia, erythema multiforme, Stevens-Johnson syndrome, Lyell syndrome/TEN, exfoliative dermatitis, nonspecific drug rash, photosensitization, urticaria. Frequency not reliably estimable: restlessness, drowsiness, ataxia, nystagmus, dizziness, respiratory depression, hepatitis, jaundice, increased GGT, irritability, fatigue, high fever."
barbexaclone,fact_check,medium,qt_interval_effect,insufficient_evidence,False,The Swiss source supports the cardiac contraindications/cautions. Absence of QT wording in the source should not be treated as evidence of no QT effect.,https://ch.oddb.org/de/gcc/fachinfo/reg/31862,"No QT interval effect described in Swiss Fachinformation; contraindications/cautions include tachyarrhythmias, severe angina, severe myocardial damage.","QT effect not characterized in located product information; Swiss Fachinformation does not describe a QT-interval effect but lists contraindications/cautions including tachyarrhythmias, severe angina pectoris, and severe myocardial damage."
barbexaclone,fact_check,medium,pubmed_search_aliases,missing_source,False,PubChem lists additional aliases and MeSH entry terms that are useful for avoiding duplicate rows and improving literature searches.,https://pubchem.ncbi.nlm.nih.gov/compound/Barbexaclone,barbesaclone; barbexaclonum; Maliasin,barbesaclone; barbexaclonum; barbexaclon; barbexaclona; Maliasin; CHP phenobarbital; phenobarbital propylhexedrine salt
barbexaclone,fact_check,high,evidence_sources,incorrect,False,"DailyMed should not be used for the boxed-warning field. The row also needs named sources for aliases and RCT-gap claims. Note that ch.oddb.org/AIFA are outside the provided trusted-domain list, although they do support the row's non-U.S. source claims.",https://ch.oddb.org/de/gcc/fachinfo/reg/31862; https://www.swissmedic.ch/dam/swissmedic/en/dokumente/stab/journal/swissmedic_journal072006.pdf.download.pdf/swissmedic_journal072006.pdf; https://www.aifa.gov.it/-/comunicazione-sul-medicinale-a-denominazione-generica-barbesaclone-25-mg-e-100-mg-compresse-rivestite-22-05-2014-; https://www.aifa.gov.it/en/ricerca-aifa?adtCategories=811507&searchKeywords=; https://pubchem.ncbi.nlm.nih.gov/compound/Barbexaclone; https://pubmed.ncbi.nlm.nih.gov/14606/; https://pubmed.ncbi.nlm.nih.gov/3709618/; https://pubmed.ncbi.nlm.nih.gov/23981808/; https://www.ilae.org/files/ilaeGuideline/Guidelines.pdf; https://www.fda.gov/drugs/drug-approvals-and-databases/about-drugsfda; https://open.fda.gov/apis/drug/label/example-api-queries/,Swiss Maliasin Fachinformation Swissmedic no. 31862 (https://ch.oddb.org/de/gcc/fachinfo/reg/31862); Swissmedic Journal 07/2006 Maliasin authorization entry (https://www.swissmedic.ch/dam/swissmedic/en/dokumente/stab/journal/swissmedic_journal072006.pdf.download.pdf/swissmedic_journal072006.pdf); AIFA Barbesaclone distribution communication (https://www.aifa.gov.it/en/-/comunicazione-sul-medicinale-a-denominazione-generica-barbesaclone-25-mg-e-100-mg-compresse-rivestite-22-05-2014-); FDA/DailyMed labeling,"Swiss Maliasin Fachinformation Swissmedic no. 31862 (https://ch.oddb.org/de/gcc/fachinfo/reg/31862); Swissmedic Journal 07/2006 Maliasin authorization entry (https://www.swissmedic.ch/dam/swissmedic/en/dokumente/stab/journal/swissmedic_journal072006.pdf.download.pdf/swissmedic_journal072006.pdf); AIFA Barbesaclone distribution/access communications, including 22-05-2014 and current AIFA search results (https://www.aifa.gov.it/-/comunicazione-sul-medicinale-a-denominazione-generica-barbesaclone-25-mg-e-100-mg-compresse-rivestite-22-05-2014-; https://www.aifa.gov.it/en/ricerca-aifa?adtCategories=811507&searchKeywords=); PubChem Barbexaclone identity/aliases (https://pubchem.ncbi.nlm.nih.gov/compound/Barbexaclone); PubMed records PMID 14606, 3709618, 23981808; ILAE evidence review (https://www.ilae.org/files/ilaeGuideline/Guidelines.pdf); FDA/openFDA/Drugs@FDA searches for FDA label/application status (https://www.fda.gov/drugs/drug-approvals-and-databases/about-drugsfda; https://open.fda.gov/apis/drug/label/example-api-queries/)"
barbexaclone,fact_check,high,fda_black_box_warning,incorrect,False,DailyMed is not permissible for the black-box field. The replacement keeps the no-FDA-label conclusion but ties it to FDA/openFDA/Drugs@FDA only.,https://www.fda.gov/drugs/drug-approvals-and-databases/about-drugsfda; https://open.fda.gov/apis/drug/label/example-api-queries/; https://open.fda.gov/apis/drug/drugsfda/how-to-use-the-endpoint/,No current FDA/DailyMed label identified.,N/A - no FDA-approved labeling or FDA boxed warning identified for barbexaclone/barbesaclone/barbexaclonum/Maliasin.
barbexaclone,fact_check,high,fda_black_box_warning_source,incorrect,False,DailyMed is impermissible for this field under the audit instructions.,https://www.fda.gov/drugs/drug-approvals-and-databases/about-drugsfda; https://open.fda.gov/apis/drug/label/example-api-queries/; https://open.fda.gov/apis/drug/drugsfda/how-to-use-the-endpoint/,FDA/DailyMed search on 05-20-2026: no current label found for terms [barbexaclone; barbesaclone; barbexaclonum; Maliasin].,FDA/openFDA/Drugs@FDA searches on 05-20-2026 for terms [barbexaclone; barbesaclone; barbexaclonum; Maliasin]: no FDA-approved label/application or boxed warning identified. DailyMed was not used for boxed-warning verification.
barbexaclone,fact_check,high,status_or_notes,incorrect,False,"The Swiss statements are supported. AIFA search results show later 2025-2026 Barbesaclone notices, so characterizing the Italian documentation only as historical is incomplete.",https://www.swissmedic.ch/dam/swissmedic/en/dokumente/stab/journal/swissmedic_journal072006.pdf.download.pdf/swissmedic_journal072006.pdf; https://ch.oddb.org/de/gcc/fachinfo/reg/31862; https://www.aifa.gov.it/-/comunicazione-sul-medicinale-a-denominazione-generica-barbesaclone-25-mg-e-100-mg-compresse-rivestite-22-05-2014-; https://www.aifa.gov.it/en/ricerca-aifa?adtCategories=811507&searchKeywords=,"Historical European/Swiss/Italian ASM product; Swissmedic Journal lists Maliasin 25 mg/100 mg (barbexaclonum) as an antiepileptic under authorization no. 31862, Swiss Maliasin Fachinformation lists multiple epilepsy indications, and AIFA communications document Barbesaclone 25 mg/100 mg coated-tablet distribution access.","Non-U.S. ASM product: historical Swiss Maliasin authorization no. 31862 for 25 mg/100 mg dragees (barbexaclonum) as an antiepileptic; Swiss Fachinformation lists multiple epilepsy indications; AIFA documents Barbesaclone 25 mg/100 mg coated-tablet access/distribution, with later AIFA search results showing ongoing 2025-2026 Barbesaclone distribution/expiry-extension notices."
barbexaclone,black_box_warning,high,fda_black_box_warning,incorrect,False,"The conclusion is plausible, but the row's wording cites DailyMed for a boxed-warning field; the audit policy permits FDA/openFDA/Drugs@FDA sources only for this field.",https://www.fda.gov/drugs/drug-approvals-and-databases/about-drugsfda; https://open.fda.gov/apis/drug/label/example-api-queries/; https://open.fda.gov/apis/drug/drugsfda/how-to-use-the-endpoint/; https://api.fda.gov/drug/label.json?search=%22barbexaclone%22&limit=1; https://api.fda.gov/drug/label.json?search=%22barbesaclone%22&limit=1; https://api.fda.gov/drug/label.json?search=%22barbexaclonum%22&limit=1; https://api.fda.gov/drug/label.json?search=%22Maliasin%22&limit=1,No current FDA/DailyMed label identified.,N/A - no FDA-approved labeling or FDA boxed warning identified for barbexaclone/barbesaclone/barbexaclonum/Maliasin.
barbexaclone,proposed_row_update,medium,evidence_sources,proposed,False,"Remove DailyMed for black-box verification and add named sources for alias, RCT-gap, FDA-status, and current AIFA context.",https://pubchem.ncbi.nlm.nih.gov/compound/Barbexaclone; https://pubmed.ncbi.nlm.nih.gov/14606/; https://pubmed.ncbi.nlm.nih.gov/3709618/; https://pubmed.ncbi.nlm.nih.gov/23981808/; https://www.ilae.org/files/ilaeGuideline/Guidelines.pdf; https://www.fda.gov/drugs/drug-approvals-and-databases/about-drugsfda; https://open.fda.gov/apis/drug/label/example-api-queries/,Swiss Maliasin Fachinformation Swissmedic no. 31862 (https://ch.oddb.org/de/gcc/fachinfo/reg/31862); Swissmedic Journal 07/2006 Maliasin authorization entry (https://www.swissmedic.ch/dam/swissmedic/en/dokumente/stab/journal/swissmedic_journal072006.pdf.download.pdf/swissmedic_journal072006.pdf); AIFA Barbesaclone distribution communication (https://www.aifa.gov.it/en/-/comunicazione-sul-medicinale-a-denominazione-generica-barbesaclone-25-mg-e-100-mg-compresse-rivestite-22-05-2014-); FDA/DailyMed labeling,"Swiss Maliasin Fachinformation Swissmedic no. 31862 (https://ch.oddb.org/de/gcc/fachinfo/reg/31862); Swissmedic Journal 07/2006 Maliasin authorization entry (https://www.swissmedic.ch/dam/swissmedic/en/dokumente/stab/journal/swissmedic_journal072006.pdf.download.pdf/swissmedic_journal072006.pdf); AIFA Barbesaclone distribution/access communications, including 22-05-2014 and current AIFA search results (https://www.aifa.gov.it/-/comunicazione-sul-medicinale-a-denominazione-generica-barbesaclone-25-mg-e-100-mg-compresse-rivestite-22-05-2014-; https://www.aifa.gov.it/en/ricerca-aifa?adtCategories=811507&searchKeywords=); PubChem Barbexaclone identity/aliases (https://pubchem.ncbi.nlm.nih.gov/compound/Barbexaclone); PubMed records PMID 14606, 3709618, 23981808; ILAE evidence review (https://www.ilae.org/files/ilaeGuideline/Guidelines.pdf); FDA/openFDA/Drugs@FDA searches for FDA label/application status (https://www.fda.gov/drugs/drug-approvals-and-databases/about-drugsfda; https://open.fda.gov/apis/drug/label/example-api-queries/)"
barbexaclone,proposed_row_update,medium,fda_black_box_warning_source,proposed,False,DailyMed is not permitted for this field.,https://www.fda.gov/drugs/drug-approvals-and-databases/about-drugsfda; https://open.fda.gov/apis/drug/label/example-api-queries/; https://open.fda.gov/apis/drug/drugsfda/how-to-use-the-endpoint/,FDA/DailyMed search on 05-20-2026: no current label found for terms [barbexaclone; barbesaclone; barbexaclonum; Maliasin].,FDA/openFDA/Drugs@FDA searches on 05-20-2026 for terms [barbexaclone; barbesaclone; barbexaclonum; Maliasin]: no FDA-approved label/application or boxed warning identified. DailyMed was not used for boxed-warning verification.
barbexaclone,proposed_row_update,medium,mechanism_source_tier,proposed,False,The cited source is not EMA or UK eMC/SmPC.,https://ch.oddb.org/de/gcc/fachinfo/reg/31862,EMA/UK SmPC,Swiss Fachinformation / non-U.S. product information (not EMA/UK SmPC)
barbexaclone,proposed_row_update,medium,adverse_symptoms_percentages,proposed,False,Remove misleading '0%' wording and align event list more closely to Swiss product information.,https://ch.oddb.org/de/gcc/fachinfo/reg/31862,"Swiss Fachinformation frequency categories: frequent 1-10% not itemized for all symptoms; occasional 0.1-1% calcium metabolism disorder and weight loss; rare 0.01-0.1% aplastic/megaloblastic anemia, pancytopenia, thrombocytopenia, leukopenia, agranulocytosis, allergic/respiratory hypersensitivity, hallucinations, hemorrhage, constipation, vomiting, gingival hyperplasia, SJS/TEN, exfoliative dermatitis, rash; frequency not reliably estimable 0% exact percentage unavailable for somnolence, ataxia, nystagmus, dizziness, respiratory depression, fatigue.","Swiss Fachinformation frequency categories: frequent >1/100 to <=1/10, occasional >1/1000 to <=1/100, rare >1/10000 to <=1/1000. Occasional: calcium metabolism disorders, weight loss. Rare: aplastic anemia, megaloblastic anemia, pancytopenia, thrombocytopenia, leukopenia, agranulocytosis, allergic reactions/skin and respiratory hypersensitivity, systemic lupus erythematosus, optical hallucinations, hemorrhage, constipation, vomiting, gingival hyperplasia, erythema multiforme, Stevens-Johnson syndrome, Lyell syndrome/TEN, exfoliative dermatitis, nonspecific drug rash, photosensitization, urticaria. Frequency not reliably estimable: restlessness, drowsiness, ataxia, nystagmus, dizziness, respiratory depression, hepatitis, jaundice, increased GGT, irritability, fatigue, high fever."
